Title,Date-Scraped,URL,Company,Min-Qualifications,Pref-Qualifications,Description
"
      AI Engineer, Google Cloud Customer Experience
    ",2023-01-08 12:56:18.595302 MDT,https://careers.google.com/jobs/results/99060320837739206-ai-engineer-google-cloud-customer-experience/?distance=50&q=Machine%20Learning,Google,"
Bachelor's degree in Computer Science, Mathematics, or a related technical field, or equivalent practical experience.
Experience in building machine learning (ML) solutions.
Experience coding in one or more languages (e.g., Python, Scala, Java, Go, or similar) with experience in data structures, algorithms, and software design.
Experience working with technical customers.
","
Experience working with recommendation engines, data pipelines, or distributed machine learning.
Experience in technical consulting.
Experience with deep learning frameworks (e.g., l, Torch, Caffe, Theano).
Knowledge of data warehousing concepts, including data warehouse technical architectures, infrastructure components, extract transform load (ETL), and reporting or analytic tools and environments (e.g., Apache Beam, Hadoop, Spark, Pig, Hive, MapReduce, Flume).
Understanding of the auxiliary practical concerns in production ML systems.
","The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, businesses, educational institutions, and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As a Cloud AI Engineer, you will design and implement machine learning solutions for customer use cases, leveraging core Google products including TensorFlow, DataFlow, and Vertex AI. You will work with customers to identify opportunities to apply machine learning in their business, travel to customer sites to deploy solutions, and deliver workshops to educate and empower customers. Additionally, you will work with Product Management and Product Engineering to build and constantly lead excellence in our products.Google Cloud accelerates organizations’ ability to digitally transform their business with infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.The US base salary range for this full-time position is $107,000-$163,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits."
"
      Staff Software Engineer, Machine Learning, Google Cloud Platform AI and Industry Solutions
    ",2023-01-08 12:56:22.501159 MDT,https://careers.google.com/jobs/results/134333242267312838-staff-software-engineer-machine-learning-google-cloud-platform-ai-and-industry-solutions/?distance=50&q=Machine%20Learning,Google,"
Bachelor's degree or equivalent practical experience. 
8 years of experience in software development, and with data structures/algorithms.
5 years of experience testing, and launching software products, and 3 years of experience with software design and architecture.  
5 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning, and/or natural language processing.
","
Master’s degree or PhD in Engineering, Computer Science, or a related technical field. 
3 years of experience in a technical leadership role leading project teams and setting technical direction. 
3 years of experience working in a complex, matrixed organization involving cross-functional, and/or cross-business projects.
","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
With your technical expertise you will manage project priorities, deadlines, and deliverables. You will design, develop, test, deploy, maintain, and enhance software solutions.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.The US base salary range for this full-time position is $174,000-$276,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google."
"
      Software Engineering Manager II, Machine Learning, Google Cloud Platform AI and Industry Solutions
    ",2023-01-08 12:56:26.146515 MDT,https://careers.google.com/jobs/results/125532888637547206-software-engineering-manager-ii-machine-learning-google-cloud-platform-ai-and-industry-solutions/?distance=50&q=Machine%20Learning,Google,"
Bachelor's degree or equivalent practical experience.

5 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, Javascript). 
3 years of experience in a technical leadership role; overseeing strategic projects, with 2 years of experience in a people management, supervision/team leadership role.
3 years of experience with machine learning algorithms and tools (e.g., TensorFlow), or applied ML (e.g., deep learning, natural language processing).
","
Master’s degree or PhD in Engineering, Computer Science, or a related technical field.

3 years of experience working in a complex, matrixed organization.
","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.With your extensive technical expertise you take initiative to independently design and implement new systems, designing, implementing, and testing multiple features with little or no direction from tech lead or manager. You collaborate with key stakeholders to determine future direction of work.
Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.The US base salary range for this full-time position is $174,000-$276,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google."
"
      Software Engineer III, Computer Vision/Infrastructure, AR
    ",2023-01-08 12:56:29.816263 MDT,https://careers.google.com/jobs/results/142471389249446598-software-engineer-iii-computer-visioninfrastructure-ar/?distance=50&q=Machine%20Learning,Google,"Bachelor’s degree or equivalent practical experience.2 years of experience with software development in one or more programming languages, or 1 year of experience with an advanced degree.2 years of experience with data structures or algorithms in either an academic or industry setting.","
Master's degree or PhD in Computer Science or related technical field.
2 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning.2 years of experience with computer vision algorithms and tools (e.g., OpenCV), image and video processing, multi-view geometry.1 year of experience in graphics and rendering.Experience designing and developing image/video processing pipelines and implementing quality control procedures.
","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In the Google AR Perception team, the goal is to build novel algorithms at the intersection of real-time computer vision, novel sensing and applied machine learning to enable next generation perception capabilities.  As a computer vision infrastructure engineer, you will help scale the team’s efforts by building critical infrastructure/tooling/pipelines while working with researchers and bleeding edge technology in the areas of body, face, and hand tracking.Google is an engineering company at heart. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on users around the world. At Google, engineers not only revolutionize search, they routinely work on scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, social to local, Google engineers are changing the world one technological achievement after another.The US base salary range for this full-time position is $126,000-$190,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process. Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits."
"
      Customer Engineer, Machine Learning, Digital Native Customers
    ",2023-01-08 12:56:33.514784 MDT,https://careers.google.com/jobs/results/134045864294261446-customer-engineer-machine-learning-digital-native-customers/?distance=50&q=Machine%20Learning,Google,"
Experience as a technical sales engineer in a cloud computing environment or in a customer-facing role.
Experience with cloud-based machine learning solutions and architectures.
Experience coding in programming frameworks (e.g., Python or R) and machine learning frameworks (e.g., TensorFlow, etc.).
Experience with technical presentations and demos for decision-makers.
","
Experience designing, building, and operating machine learning solutions, leveraging specific machine learning architectures (e.g., deep learning, convolutional networks, etc.).
Experience architecting and developing software or infrastructure for scalable, distributed systems.
Experience leveraging cloud-based machine learning solutions.
Ability to learn, understand, and work with emerging technologies, methodologies, and solutions in the cloud/IT technology space.
Ability to lead, inspire, and mentor others in the same area of expertise.
Passion for ML system operation approaches, conceptual related frameworks, and technical implementation approaches based on CI/CD.
","When leading companies choose Google Cloud it's a huge win for spreading the power of cloud computing globally. Once educational institutions, government agencies, and other businesses sign on to use Google Cloud products, you come in to facilitate making their work more productive, mobile, and collaborative. You listen and deliver what is most helpful for the customer. You assist fellow sales Googlers by problem-solving key technical issues for our customers. You liaise with the product marketing management and engineering teams to stay on top of industry trends and devise enhancements to Google Cloud products.
In this role, you will work to introduce Google Cloud Artificial Intelligence (AI) and Machine Learning (ML) technologies to customers. You will help customers and partners understand the power of Google Cloud's leading AI/ML offering, develop creative cloud solutions, and architectures to solve their business challenges, and problem-solve any potential technical roadblocks.Google Cloud accelerates organizations’ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google’s cutting-edge technology – all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems."
"
      Sales Engineer, Machine Learning, Google Cloud
    ",2023-01-08 12:56:37.153229 MDT,https://careers.google.com/jobs/results/99023855382602438-sales-engineer-machine-learning-google-cloud/?distance=50&q=Machine%20Learning,Google,"
 Bachelor's degree or equivalent practical experience.
Experience in virtualization or cloud native architectures in a customer-facing or support role.
Experience with big data, machine learning, and numerical programming frameworks (e.g., TensorFlow, Python, MATLAB).
Experience in performing technical presentations or public speaking.
","
Advanced education in a technical field (Computer Science, Engineering and Mathematics).
Experience in and understanding of data and information management as it relates to big data trends and issues within businesses. 
Experience building machine learning solutions and leveraging specific machine learning architectures (e.g., deep learning, LSTM, convolutional networks.)
Experience architecting and developing software or infrastructure for scalable, distributed systems.
Ability to learn quickly, understand, and work with new emerging technologies, methodologies, and solutions in the cloud/IT Technology space.
","The Google Cloud Platform team helps customers transform and build what's next for their business — all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers — developers, small and large businesses, educational institutions and government agencies — see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As a Sales Engineer, you will work directly with Technical Sales teams as a machine learning subject matter expert to differentiate Google Cloud to our customers. You will help prospective customers and partners understand the power of Google Cloud, explaining technical features, helping customers design architectures, and problem-solving any potential roadblocks. Additionally, you will have the opportunity to help customers to leverage specialized machine learning (ML) hardware developed by Google (e.g., Tensor Processing Unit). In this role, you will work closely with customers and product development to shape the TPU platform.Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google’s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.
The US base salary range for this full-time position is $78,500-$117,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits."
"
      Student Researcher, PhD, 2023
    ",2023-01-08 12:56:40.822328 MDT,https://careers.google.com/jobs/results/124905358784111302-student-researcher-phd-2023/?distance=50&q=Machine%20Learning,Google,"
Currently enrolled in a PhD in Computer Science, Linguistics, Statistics, Biostatistics, Applied Mathematics, Operations Research, Economics, or Natural Sciences.
Experience in one area of computer science (e.g., Natural Language Understanding, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Quantum Information Science, Data Science, Software Engineering, etc.).
","
Currently attending a degree program in the US.
Currently enrolled in a full-time degree program and returning to the program after completion of the internship.
Experience as a researcher, including internships, full-time, or at a lab.
Experience contributing to research communities or efforts, including publishing papers in conferences or journals.
Experience with one or more general purpose programming languages (e.g., C/C++, Java, MATLAB, Go, Python, etc.).
Ability to speak and write in English fluently.
","The Student Researcher Program’s primary objective is to foster academic collaborations with students through research at Google. Join us for a paid Student Researcher position that offers the opportunity to work directly with Google research scientists and engineers on research projects.The Student Researcher Program offers more opportunities for research students to work on critical research projects at Google in a less structured way. The program allows opportunities beyond the limitations of our traditional internship program on aspects such as duration, time commitment, and working location (with options for on-site or remote). The topics student researchers work on tend to be open-ended and exploratory, and don't always have a clear deliverable like a traditional internship would.Google Research is building the next generation of intelligent systems for all Google products. To achieve this, we’re working on projects that utilize the latest computer science techniques developed by skilled software engineers and research scientists. Google Research teams collaborate closely with other teams across Google, maintaining the flexibility and versatility required to adapt new projects and foci that meet the demands of the world's fast-paced business needs.
The US base salary range for this full-time position is $105,000-$134,000. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits."
"
      Senior Staff Software Engineer, APIs, Machine Learning, Core
    ",2023-01-08 12:56:44.574792 MDT,https://careers.google.com/jobs/results/137114242751832774-senior-staff-software-engineer-apis-machine-learning-core/?distance=50&q=Machine%20Learning,Google,"
 Bachelor's degree or equivalent practical experience
8 years of experience in software development and with data structures/algorithms
5 years of experience with design and architecture; and testing/launching software products
Experience with API and system design, and C++
","
Master’s degree or PhD in Engineering, Computer Science, or a related technical field
7 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning and/or natural language processing
5 years of experience in a technical leadership role leading project teams and setting technical direction
3 years of experience working in a complex, matrixed organization involving cross-functional, and/or cross-business projects
Strong understanding of the needs of advanced ML developers and an excitement to work full stack, from API design to programming languages, runtimes, compilers, and advanced hardware
","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
TensorFlow is the world's premier machine learning framework and is at the heart of Google's AI first strategy. TensorFlow and its sister project JAX power machine learning (ML) in research and production environments throughout Google and in the world via open source. Working on the Core ML API team is one of the most visible engineering roles here, your work will solve problems far beyond Google!The Core team builds the technical foundation behind Google’s flagship products. We are owners and advocates for the underlying design elements, developer platforms, product components, and infrastructure at Google. These are the essential building blocks for excellent, safe, and coherent experiences for our users and drive the pace of innovation for every developer. We look across Google’s products to build central solutions, break down technical barriers and strengthen existing systems. As the Core team, we have a mandate and a unique opportunity to impact important technical decisions across the company.
The US base salary range for this full-time position is $218,000-$326,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits."
"
      Principal Engineer, Frameworks and Application Programming Interface
    ",2023-01-08 12:56:48.547740 MDT,https://careers.google.com/jobs/results/87633075896230598-principal-engineer-frameworks-and-application-programming-interface/?distance=50&q=Machine%20Learning,Google,"
Bachelor’s degree in Computer Science, or similar technical field of study, or equivalent practical experience.

15 years of experience as a software engineer or 13 years with an advanced degree.

Experience solving problems and applying Machine Learning to solve problems.

Experience with technical innovation in Frameworks, Libraries, Tools, APIs, or related fields.

","
20 years of experience in software engineering. 

Experience in Open Source development.

Experience in technical systems and software influencing technical leaders across a company.
Experience in reasoning and quantifying relative impacts and risks of technical work.

Ability to ramp up in subject areas with short notice to guide a few weeks of research into potential risks related to Google infrastructure usage.
Excellent API and systems design skills, and an understanding of the needs of advanced Machine Learning developers.

","In this role, you will lead design and development of the CoreML frameworks and Application Programming Interfaces (APIs). You will help design and develop an excellent core Machine Learning API stack and ecosystem. You will work closely with TensorFlow and JAX leads on designing and building sustainable APIs for Machine Learning developers at Alphabet and throughout the world. You will advance Machine Learning, and have an Alphabet impact.The Core team builds the technical foundation behind Google’s flagship products. We are owners and advocates for the underlying design elements, developer platforms, product components, and infrastructure at Google. These are the essential building blocks for excellent, safe, and coherent experiences for our users and drive the pace of innovation for every developer. We look across Google’s products to build central solutions, break down technical barriers and strengthen existing systems. As the Core team, we have a mandate and a unique opportunity to impact important technical decisions across the company.
The US base salary range for this full-time position is $256,000-$384,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits."
"
      Senior Software Engineer, Machine Learning, Technology and Society
    ",2023-01-08 12:56:52.127899 MDT,https://careers.google.com/jobs/results/106511916223865542-senior-software-engineer-machine-learning-technology-and-society/?distance=50&q=Machine%20Learning,Google,"
Bachelor’s degree or equivalent practical experience.
1 year of experience in software design and architecture.
3 years of experience with machine learning algorithms and tools (e.g., TensorFlow), artificial intelligence, deep learning, or natural language processing.
","
Master's degree or PhD in Computer Science, or a related technical field.
1 year of experience working in a complex, matrixed organization involving cross-functional, and/or cross-business projects.
1 year of experience in a technical leadership role.
","Google's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.
In this role, you will utilize Google breakthrough AI technologies to build  
new products and reinvent existing products, to impact billions of people  every day. You will collaborate with key stakeholders to determine the  
future direction of workThe Technology & Society organization connects research, people, and ideas across Google and Alphabet to help shape and advance our most ambitious technology innovations and initiatives and their impact on users and society for the better, and responsibly. In addition, we also aim to share perspectives, engage, and collaborate with others externally on technology related issues and opportunities for society.The US base salary range for this full-time position is $148,000-$230,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits."
